ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
UBERON:0002336	corpus callosum	tissue			cage	2
UBERON:0002360	meninx	tissue			cage	2
UBERON:0002363	dura mater	tissue			cage	2
UBERON:0002367	prostate gland	tissue	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0002369	adrenal gland	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	27
UBERON:0002370	thymus	tissue	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	15
UBERON:0002371	bone marrow	tissue			cage	2
UBERON:0002372	tonsil	tissue			cage	2
UBERON:0002394	bile duct	tissue	adult		atac	1
UBERON:0002448	fungiform papilla	tissue			cage	2
UBERON:0002469	esophagus mucosa	tissue	adult		atac,rna_seq,splice_junctions,splice_site_usage	6
UBERON:0002581	postcentral gyrus	tissue			cage	2
UBERON:0002626	head of caudate nucleus	tissue	adult		dnase	1
UBERON:0002686	angular gyrus	tissue	adult		chip_histone	5
UBERON:0002702	middle frontal gyrus	tissue			cage	2
UBERON:0002740	posterior cingulate gyrus	tissue	adult		dnase	1
UBERON:0002771	middle temporal gyrus	tissue			cage	2
UBERON:0002902	occipital pole	tissue			cage	2
UBERON:0002967	cingulate gyrus	tissue	adult		chip_histone	5
UBERON:0003112	olfactory region	tissue			cage	2
UBERON:0003124	chorion	tissue	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	10
UBERON:0003126	trachea	tissue			cage	2
UBERON:0003346	mucosa of rectum	tissue	adult		chip_histone	5
UBERON:0003662	forelimb muscle	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0003663	hindlimb muscle	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0003701	calcaneal tendon	tissue			cage	2
UBERON:0003729	mouth mucosa	primary_cell			cage	2
UBERON:0003889	fallopian tube	tissue	adult	Fallopian_Tube	atac,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0004222	stomach smooth muscle	tissue	adult		chip_histone	6
UBERON:0004225	respiratory system smooth muscle	primary_cell			cage	2
UBERON:0004264	lower leg skin	tissue	adult		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0004538	left kidney	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0004539	right kidney	tissue	embryonic		dnase	1
UBERON:0004550	gastroesophageal sphincter	tissue	adult		atac,chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	20
UBERON:0004648	esophagus muscularis mucosa	tissue	adult		chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0004992	mucosa of descending colon	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	11
UBERON:0005033	mucosa of gallbladder	tissue	child		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0005270	renal cortex interstitium	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0005795	embryonic uterus	tissue			cage	2
UBERON:0006322	inferior rectus extraocular muscle	tissue			cage	2
UBERON:0006323	superior rectus extraocular muscle	tissue			cage	2
UBERON:0006330	anterior lingual gland	tissue	adult	Minor_Salivary_Gland	rna_seq,splice_junctions,splice_site_usage	4
